XYZ (105953 points)
124.959 31.018 60.459
125.054 31.007 58.003
125.151 30.993 64.014
125.250 30.978 64.055
125.350 30.961 67.820
125.453 30.941 67.627
125.557 30.920 61.815
125.663 30.895 69.853
125.771 30.867 67.429
125.880 30.837 72.479
125.991 30.802 69.993
126.104 30.764 72.059
126.218 30.722 74.378
126.332 30.675 80.482
126.448 30.622 88.713
126.565 30.565 81.840
126.683 30.500 92.269
126.815 30.430 98.560
126.936 30.336 99.952
127.049 30.248 119.290
127.158 30.151 110.010
127.263 30.046 104.632
127.361 29.931 123.933
127.453 29.806 143.726
127.540 29.672 359.609
127.615 29.530 672.411
127.682 29.379 1004.193
127.740 29.220 1051.182
127.790 29.056 1081.402
127.832 28.885 1100.000
127.866 28.709 1102.173
127.894 28.528 902.715
127.915 28.343 789.166
127.930 28.153 910.539
127.939 27.960 729.527
127.943 27.763 774.037
127.941 27.562 695.617
127.934 27.358 693.464
127.920 27.151 572.317
127.901 26.940 28.365
127.875 26.726 225.471
127.840 26.512 253.350
127.800 26.290 111.544
127.757 26.069 98.112
127.703 25.846 1411.672
127.642 25.620 2373.107
127.573 25.393 2299.880
127.497 25.164 3285.053
127.412 24.936 3509.848
127.320 24.704 4750.893
127.220 24.473 6952.654
127.117 24.242 7281.982
126.985 24.052 7140.501
126.906 23.831 6458.430
126.778 23.602 6048.946
126.644 23.370 6272.298
126.505 23.137 5619.789
126.358 22.903 5869.756
126.210 22.670 5230.924
126.059 22.430 5500.521
125.901 22.188 4797.733
125.711 21.939 4967.015
125.547 21.670 5048.680
125.373 21.427 6006.563
125.195 21.190 5830.146
125.009 20.945 5832.968
124.826 20.701 5794.616
124.636 20.462 5657.221
124.425 20.276 5607.651
124.272 20.037 5571.286
124.053 19.803 5478.460
123.826 19.568 5469.149
123.585 19.338 5219.451
123.324 19.115 4839.770
123.017 18.912 4665.947
122.714 18.940 2699.365
122.496 18.798 1969.757
122.341 18.532 595.555
121.976 18.654 795.351
121.729 18.400 24.957
121.782 30.834 5.736
121.797 30.809 7.586
121.815 30.785 8.000
121.829 30.759 7.599
121.861 30.766 8.000
121.890 30.772 8.000
121.920 30.779 8.000
121.767 30.858 2.277
121.949 30.787 7.145
121.978 30.795 7.000
122.008 30.804 7.000
122.039 30.812 7.000
122.069 30.821 6.417
122.098 30.824 6.697
122.126 30.835 6.373
122.158 30.842 7.000
122.191 30.850 7.000
122.225 30.857 7.557
122.259 30.864 8.687
122.294 30.872 9.866
122.330 30.878 10.092
122.367 30.885 10.918
122.404 30.892 11.250
122.442 30.898 11.791
122.481 30.904 12.649
122.521 30.910 15.000
122.562 30.915 16.946
122.604 30.920 18.015
122.646 30.926 19.335
122.690 30.930 19.472
